包厢开台分析2025-12-01 10:00:00至2025-12-03 10:00:00(空境·派对KTV（万象城店）),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包厢名称,包厢类型,区域名称,开台单号,开房计费模式,开房时间,关房时间,清洁时间,营业日,订房人,订房人部门,返房人,轮房人,商秘/外联,消费时长,时段,开房标签,预订渠道,账单备注,账单合计,应收金额,实收金额,赠送,抹零金额,调整金额,挂账金额,免单金额,房费折扣金额,酒水折扣金额,基本业绩,低消费,低消差额,计入低消金额,不计入低消金额,特饮金额,销售经理,营销经理,支付方式,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,微信支付,支付宝,会员支付,会员本金,会员赠送,现金,银行卡,服务员收款,员工信用扣款,付呗,店长签单,演绎提成,营销提成,过期取酒,美团,抖音,招待,扫码,会员停用,三倍储值活动,定金消费,高德
K18,电音小包,KTV区,Z-KT25120100022,线上黄金档3H纯唱（18:00—04:30）,2025-12-01 18:41:42,2025-12-01 22:23:00,2025-12-01 21:43:13,2025-12-01,,,,,,221,黄金档,,,,183,183,183,48,0,0,0,0,0,0,183,0,0,30,0,0,,,,,,,,0,,,,,,,,,183,,,,,,,
K16,电音大包,KTV区,Z-KT25120100021,线上5H纯唱（10:00—18:00）,2025-12-01 15:26:31,2025-12-01 19:21:30,2025-12-01 18:31:00,2025-12-01,,,,,,234,白天档,,,,193,193,113,0,0,0,0,0,0,0,113,0,0,,,,,,,,,,,,,,,,80,,,,113,,,,,,,
K19,电音大包,KTV区,Z-KT25120100020,线上5H纯唱（10:00—18:00）,2025-12-01 14:19:46,2025-12-01 19:41:59,2025-12-01 18:31:00,2025-12-01,,,,,,322,白天档,,,,199,199,199,0,0,0,0,0,0,0,199,0,0,0,0,0,,,,,,,,,,199,,,,,,,,,,,,,,
K15,电音中包,KTV区,Z-KT25120100019,白天档会员活动5H,2025-12-01 13:51:17,2025-12-01 18:47:08,2025-12-01 18:31:00,2025-12-01,,,,,,295,白天档,,,,80,80,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,80,57.3,22.7,0,,,,,,,,,,,,,,,,
K17,电音小包,KTV区,Z-KT25120100018,线上5H纯唱（10:00—18:00）,2025-12-01 13:44:12,2025-12-01 18:46:45,2025-12-01 18:31:00,2025-12-01,,,,,,302,白天档,,,,107,107,107,0,0,0,0,0,0,0,107,0,0,0,0,0,,,,,,,,,,107,,,,,,,,,,,,,,
JJJ,派对包,派对包,Z-KT25120100017,白天档会员活动5H,2025-12-01 13:37:30,2025-12-01 17:16:10,2025-12-01 17:16:07,2025-12-01,,,,,,218,白天档,,,,230,230,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,230,179.2,50.8,,,,,,,,,,,,,,,,,
K12,电音大包,KTV区,Z-KT25120100014,白天档会员活动5H,2025-12-01 13:02:17,2025-12-01 19:41:53,2025-12-01 18:31:00,2025-12-01,,,,,,399,白天档,,,,150,150,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,150,150,0,,,,,,,,,,,,,,,,,
K10,电音大包,KTV区,Z-KT25120100013,白天档会员活动5H,2025-12-01 13:01:32,2025-12-01 18:46:29,2025-12-01 18:31:00,2025-12-01,,,,,,344,白天档,,,,150,150,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,150,150,0,,,,,,,,,,,,,,,,,
K01,电音中包,KTV区,Z-KT25120100011,白天档会员活动5H,2025-12-01 12:58:43,2025-12-01 18:46:10,2025-12-01 18:31:00,2025-12-01,,,,,,347,白天档,,,,80,80,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,80,63.8,16.2,,,,,,,,,,,,,,,,,
K08,电音中包,KTV区,Z-KT25120100010,白天档会员活动5H,2025-12-01 12:58:18,2025-12-01 18:46:24,2025-12-01 18:29:28,2025-12-01,,,,,,348,白天档,,,,80,80,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,80,65.6,14.4,,,,,,,,,,,,,,,,,
